"","""LEW.STD.1""","""LEW.STD.2""","""LEW.STD.3""","""LEW.STD.4""","""LEW.STD.5""","""WKY.STD.1""","""WKY.STD.2""","""WKY.STD.3""","""WKY.STD.4""","""WKY.STD.5""","""LEW.CAF.1""","""LEW.CAF.2""","""LEW.CAF.3""","""LEW.CAF.4""","""LEW.CAF.5""","""WKY.CAF.1""","""WKY.CAF.2""","""WKY.CAF.3""","""WKY.CAF.4""","""WKY.CAF.5"""
"Ccdc92",8.82565960140812,9.02755013490745,8.83560664043591,9.72649968022825,8.98866787021839,8.03721084846211,8.28147830483886,7.98436405750785,8.07288597987069,8.0788748050986,9.17342303465287,9.04572721051677,9.36898791181696,9.73455135816714,9.33640440251309,8.01833298498816,8.14664548510237,8.29058940167862,8.47970737446778,8.5167229636923
"Mir223",10.8146175457297,10.9175681216724,10.8122428575819,10.9056408886786,11.0510343780548,9.12353399107653,10.4052728005609,10.0438731517995,10.1433811512533,10.8659487258687,10.9259839139509,11.1376311938218,10.8712457784736,10.5504617555018,11.0359149737956,9.21834837482172,9.48315854254791,9.11031698577667,9.55178390577948,9.89859257228981
"Lpcat2",9.42093496049121,9.7013794282058,9.68148286452837,9.79349149291112,10.397875191823,9.87315643838676,11.1269255614647,11.0418240680459,10.7086098532503,11.6734557457896,9.69230871451066,9.60134172849665,9.92965753778186,9.73803745712643,10.3337856145574,10.5101531674481,10.3910503637879,9.80481226489986,10.724584682973,10.9630279681735
"Il4i1",8.19214367916154,8.52512525854309,8.19020182897749,7.57977257968805,8.14795569398436,9.28893544164554,9.48217982483466,8.60219934615859,9.23971378266876,9.10495610621868,7.91564825387429,7.68122643355584,7.56910451078281,8.08564784994302,8.15294049038775,8.88967336791858,8.97604340613153,8.93044367629525,9.07723649205463,8.90860893034876
"Hbq1b",6.65249058207527,7.1118849021371,8.3245620539431,9.0911614899847,8.28655657310533,7.19178689968532,7.17808617288044,7.94295247313336,6.87521156484175,7.06335864802442,9.24428955269565,9.44507041031808,9.88056411242971,7.94635570400241,8.31290308759031,7.70922451171439,7.47171242707052,6.50778118578047,7.96301614576726,8.16764755236331
"LOC100361706",9.59640258779095,8.96166687054114,8.94408317103792,9.20899673416832,9.43777988371199,10.8733495116341,10.2449312831421,10.6350547685546,10.5830872526312,11.0817029240787,9.1238841547643,8.81302062470382,9.12715134717061,9.46311255331601,9.36445912269407,10.5408120659068,10.7666247390574,10.643329421825,10.7368825305929,11.0676146492794
"LOC100363171",11.0487339651679,11.0853256357736,10.9360520990107,11.9884451079223,11.2797731413792,8.30016755749058,8.09509333806023,8.27424559873752,8.33241297148573,8.20505538106068,11.125799791068,11.0829035111628,11.2523997842964,11.5243838052558,11.2668049388428,7.89413583949133,8.1790280587795,8.24011206471263,8.38157326342087,8.3302218265897
"LOC100910885",6.09093351631477,5.7830159033397,5.77457453980714,5.59908649294128,5.53850637757706,6.45359097278182,6.85713235044748,6.69051917363101,7.13934970319091,7.01949848917365,5.73883001190625,6.10472573094322,6.18146176847606,5.68327157642893,5.67431372151855,6.38334450438281,6.24817078421432,6.5376547651861,6.78647683358701,6.10457293891131
"LOC102551064",5.65775804967772,5.45458004823832,5.45241298911174,5.61134602606792,5.6950023345705,7.25556052214199,7.51599159807478,7.24003097952557,7.5685711896284,7.3696506369234,5.61402656327692,5.57241430903614,5.52034308389714,5.63356774166262,5.69663519953455,7.30956500450711,7.2005436634455,7.53157689393932,7.0982967907235,7.21543783314814
"LOC103690111",7.10692569508668,6.85789002951349,7.14923057797422,7.11825615813558,7.1605114066188,9.34907235925277,9.09451077714508,8.98885217891938,9.00008553980999,9.22078734060682,7.09922548101852,6.34477012678609,6.6601952155362,6.88999178806378,6.84062064650022,8.63692982719243,8.94167256441313,8.59489675098083,8.70457574929073,8.96611433210362
"Hemgn",7.31936052779753,7.68419546943913,8.776094582198,9.22908878663048,8.35927818063443,7.8542183264729,7.64447005031933,8.53471971589944,7.56945266675659,7.69291916683448,9.66884327032945,9.61533863673541,9.91722761431242,8.20781183166252,8.4984173712355,8.16922286899209,8.0762737293394,7.36034335522974,8.5728250669583,8.67911809779858
"Egr2",8.82032788447961,8.45055669274353,8.44074618698127,9.12967867234764,9.09572946889909,9.55331358494036,9.97266116044792,9.4884590055045,10.4846881735337,9.98551421101639,8.27550617673944,7.32280217957661,8.88572848469114,8.77781110871563,9.21010566577867,9.70307431826001,9.38579012500391,9.40979319472145,9.04655620591047,9.24181171173183
"Slfn4",11.067028504959,11.4518225914475,11.2875305455917,11.2762606276583,11.0757141449589,12.2663375697471,12.5227704608387,12.5877298084761,12.3724545040534,12.6234832020057,11.4796262029945,11.7630252706201,11.2107506703605,10.8872487155656,11.080961488456,11.9367356396647,12.0870321425849,11.9524628448965,12.3039908234341,12.2044410460466
"Pkia",8.52511068237211,8.78624196746595,8.73958690929729,9.6662408065465,9.12212163351324,7.88118561864171,7.51022128918348,7.69741454997782,7.37854964446651,7.23656145584282,8.69360026638154,8.58988093742623,9.01233414459566,9.22996325269405,8.61882589394948,7.70560757353939,7.92143595991946,7.47906686599253,7.68991597064924,7.89703447000392
"Tjp2",6.7931310460847,6.59184839851021,6.54873927434066,6.36520588127358,6.31777720983543,8.35534155883694,8.17228326955446,7.91731577370124,8.1370884748896,8.1165444030197,6.51839198873574,6.61686216935381,6.41019671512326,6.49821814108988,6.47593768453909,8.27498641762487,8.29567053695945,8.4639217669,8.13366289427442,8.46294552784846
"S100a8",6.66057977006552,7.37395453170367,7.4403270354303,7.03631228305663,7.15911513080745,8.10680073976338,9.89059815659308,9.18486966329142,8.35011542269458,9.93424993692011,6.83227658291252,8.37032536687357,7.3947500859306,6.94396572807958,7.65938067924471,9.12228258477157,8.73779111806093,7.97073256708632,8.92648880367966,9.43578636158633
