"","""LEW.STD.1""","""LEW.STD.2""","""LEW.STD.3""","""LEW.STD.4""","""LEW.STD.5""","""WKY.STD.1""","""WKY.STD.2""","""WKY.STD.3""","""WKY.STD.4""","""WKY.STD.5""","""LEW.CAF.1""","""LEW.CAF.2""","""LEW.CAF.3""","""LEW.CAF.4""","""LEW.CAF.5""","""WKY.CAF.1""","""WKY.CAF.2""","""WKY.CAF.3""","""WKY.CAF.4""","""WKY.CAF.5"""
"10758208",8.82565960140812,9.02755013490745,8.83560664043591,9.72649968022825,8.98866787021839,8.03721084846211,8.28147830483886,7.98436405750785,8.07288597987069,8.0788748050986,9.17342303465287,9.04572721051677,9.36898791181696,9.73455135816714,9.33640440251309,8.01833298498816,8.14664548510237,8.29058940167862,8.47970737446778,8.5167229636923
"10920352",10.1036352591555,10.253572667072,10.1586349104576,9.89093162259183,9.70153711497884,10.4200738606315,10.4155535019925,10.2215069057161,10.0396264577227,10.1669768570081,10.1860822401683,10.0044537669876,9.8974474645711,9.81764966503678,9.96792758591089,10.4338897573828,10.3258980515003,9.86900954754795,10.0253328882463,10.049298485574
"10914607",10.2011573268522,10.1355009444858,9.88543844535353,10.803238844151,10.4724768722841,10.5764976065699,10.4992033089417,10.0180898211444,10.8615610531125,10.9035981057816,9.81785614512273,9.78519954772425,9.63914864801859,10.0491704724405,10.1228920361761,10.4329855588583,10.4625720440708,10.646603195665,10.579569033793,10.5101687634832
"10766806",6.6353979929406,6.94130831572328,6.46953595828541,6.71520981193025,6.46573733273963,6.92910891654447,6.88169982228424,6.69721982279174,6.71473750339974,6.63541758561348,6.34640260734708,6.28828118622374,6.42024399664515,6.63500047655082,6.6725386166511,6.65311831233526,6.58594646073207,6.52475778696225,6.58472204652571,6.763328564124
"10900485",8.04437499660532,7.74514090731621,7.81239575417318,8.04689112301725,8.07037571494944,7.78060030418099,7.90847205069468,7.83398512702681,8.13503747762158,8.09368776316331,8.02900998457472,7.7581872510404,8.05563670272221,8.03583561347195,8.12418485155735,8.04918543749016,7.9036943555074,8.02145199409095,8.06836639259805,7.93231476454193
"10883219",12.7058911624711,12.7623459372417,12.7043370647119,13.1180428431785,12.9234541736338,12.6981121226721,12.8424396718747,12.6110057617559,12.6611406396965,12.7136826509793,13.0457591851149,12.7690594228958,13.0159200448886,12.9944346773386,12.924255794723,12.8434814821056,12.7659185045742,12.6432726393825,12.8189880000418,12.8413402900177
"10902333",9.33287128217331,9.24336353781756,9.28591022736606,9.43158218877087,9.62951681186943,9.36490419176157,9.08186477510903,9.25269473759733,9.09722175564676,9.1933216357661,9.07548834601002,9.1450273997924,9.37404275390258,9.49360340073103,9.50406616053418,9.10708180899838,9.21513833485056,9.15874814010653,9.25920233598094,9.30622385471321
"10891864",9.07954288057874,8.77755529865759,9.00527067846988,9.2207403077755,9.04047244652861,9.23084787991227,9.1193037886832,9.11902547964961,9.25958736546404,8.97150535486845,9.01408250979911,8.91713654898185,8.98671146541505,9.15372409674854,9.09625187526954,8.95317295449435,9.20712820425178,9.25890174131746,9.29850303620815,9.3085393478271
"10824821",5.4273248948635,5.40412557315625,5.47666786096003,5.33432593447198,5.38211648076084,5.25297159358528,5.12543203371145,5.24405721344852,5.16710989518099,5.14340949747829,5.50083691331565,5.58021256495445,5.56449541394549,5.7418569487595,5.84347167621365,5.26602170748671,5.253503923972,5.25328697533919,5.30434683228914,5.26850022660352
"10744718",6.79845581426701,6.91068628423982,6.90694958161273,6.94873343490844,6.80335266682475,6.93065897869158,6.8910828692166,7.23125569922682,7.0318937646583,7.07663844720983,7.02121395716698,6.91064732083104,7.02581866215461,6.77022856043663,6.70686763401566,7.04516647589467,6.99798770913917,7.04056952535876,6.7958114753332,7.00939501147134
